trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1137,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.31575354148578,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
1138,False,"{'a': 0.5, 'e': 1.0}",20,5,-46.76676931863082,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
1139,False,"{'a': 0.5, 'e': 1.0}",20,0,-35.93992127584582,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
1140,False,"{'a': 0.5, 'e': 1.0}",25,0,-203.01317896899994,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
1141,False,"{'a': 0.5, 'e': 1.0}",25,0,-153.23906232798993,"{0: 10, 1: 4, 2: 10, 3: 0, 4: 1}",0
1142,False,"{'a': 0.5, 'e': 1.0}",20,0,-23.548198113487985,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
1143,False,"{'a': 0.5, 'e': 1.0}",25,0,-232.05969746113067,"{0: 12, 1: 3, 2: 5, 3: 1, 4: 4}",0
1144,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.22316518405952,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
1145,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.18035474185156,"{0: 11, 1: 5, 2: 1, 3: 1, 4: 2}",0
1146,False,"{'a': 0.5, 'e': 1.0}",30,0,-321.10240888453757,"{0: 8, 1: 5, 2: 10, 3: 4, 4: 3}",0
1147,False,"{'a': 0.5, 'e': 1.0}",25,0,-196.47125018918751,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
1148,False,"{'a': 0.5, 'e': 1.0}",25,0,-47.065752324662164,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
1149,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.92274361908166,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
1150,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.74843492093271,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
1151,False,"{'a': 0.5, 'e': 1.0}",20,2,-116.16399042318362,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 2}",1
1152,False,"{'a': 0.5, 'e': 1.0}",30,1,-76.2202215525068,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 0}",1
1153,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.22534689085958,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
1154,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.49116458952946,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
1155,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.13700488641327,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
